Pak,Red,Orange,Yellow,Green,Purple
1,10,16,8,12,14
2,11,15,13,15,7
3,8,15,14,8,19
4,9,12,11,17,13
5,8,13,12,11,18
6,17,13,9,10,12
7,13,8,13,19,11
8,14,13,11,10,13
9,7,14,12,15,16
10,10,14,11,15,13
11,6,12,12,19,14
12,8,15,18,17,8
13,17,6,10,17,13
14,8,9,16,21,7
15,10,28,18,16,13
16,5,10,12,6,9
17,14,14,11,12,6
18,13,13,9,14,12
19,12,18,11,16,5
20,15,14,12,12,11
21,10,11,9,21,8
22,14,11,11,18,7
23,12,8,9,19,12
24,15,11,6,16,12
25,11,17,8,14,12
26,16,13,7,17,10
27,17,8,7,13,18
28,9,13,15,9,17
29,13,11,8,9,20
30,11,12,11,14,14
31,14,8,10,13,14
32,10,15,11,13,12
33,12,16,19,6,8
34,11,14,13,11,12
35,15,13,15,10,10
36,13,11,12,11,14